year,amount_per_person
2005,149160
2006,186124
2007,196079
2008,212029
2009,236872
2010,322066
2011,350580
2012,368724
2013,383235
2014,396365
2015,408625
2016,421789
2017,430638
2018,439799
2019,448654
2020,457836
2021,465008
2022,472700
2023,479798
2024,486873
2025,493408
2026,512906
2027,538488
2028,555931
2029,558778
2030,574844
2031,590160
2032,608440
2033,613678
2034,628171
2035,637570
2036,656582
2037,663145
2038,680106
2039,685834
2040,694810
2041,711189
2042,723391
2043,729425
2044,740354
2045,751955
2046,758904
2047,774690
2048,786255
2049,797260
2050,808689
2051,809912
2052,825281
2053,835252
2054,844112
2055,852295
2056,863328
2057,874698
2058,884535
2059,888273
2060,899058
2061,905167
2062,920151
2063,923643
2064,935337
2065,948034
2066,955217
2067,966433
2068,970449
2069,981654
2070,992425
2071,1000435
2072,1009286
2073,1014584
2074,1027305
2075,1033282
2076,1042860
2077,1050420
2078,1059213
2079,1067475
2080,1075212
2081,1084384
2082,1092438
2083,1101464
2084,1110024
2085,1119957
2086,1125933
2087,1135724
2088,1143317
2089,1152299
2090,1159393
2091,1168077
2092,1175884
2093,1184028
2094,1192367
2095,1200280
2096,1208999
2097,1216847
2098,1224872
2099,1232862
2100,1240800
